case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_5,data\tc_public\tc_public_5\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_5\output.blif,results\portfolio\aig_fast\tc_public_5\output.candidate.blif,results\baseline\tc_public_5\output.blif,66,2,66,2,66,2,128,2,0,0,True,0.08672020002268255,0.0652472999645397,0.16321719996631145,10.44921875,results\portfolio\aig_fast\tc_public_5\logs
tc_public_6,data\tc_public\tc_public_6\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_6\output.blif,results\portfolio\aig_fast\tc_public_6\output.candidate.blif,results\baseline\tc_public_6\output.blif,162,4,162,4,162,4,256,5,0,0,True,0.08466759999282658,0.08561099995858967,0.11242419993504882,10.65234375,results\portfolio\aig_fast\tc_public_6\logs
tc_public_7,data\tc_public\tc_public_7\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_7\output.blif,results\portfolio\aig_fast\tc_public_7\output.candidate.blif,results\baseline\tc_public_7\output.blif,252,3,252,3,252,3,252,3,0,0,True,0.08533709996845573,0.08708799991291016,0.1328141001285985,10.69921875,results\portfolio\aig_fast\tc_public_7\logs
tc_public_8,data\tc_public\tc_public_8\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_8\output.blif,results\portfolio\aig_fast\tc_public_8\output.candidate.blif,results\baseline\tc_public_8\output.blif,193,3,193,3,193,3,193,3,0,0,True,0.08416369999758899,0.09963559999596328,0.12942240003030747,10.12109375,results\portfolio\aig_fast\tc_public_8\logs
tc_public_9,data\tc_public\tc_public_9\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_9\output.blif,results\portfolio\aig_fast\tc_public_9\output.candidate.blif,results\baseline\tc_public_9\output.blif,224,5,224,5,224,5,224,5,0,0,True,0.091799599933438,0.08778060006443411,0.1111815000185743,10.625,results\portfolio\aig_fast\tc_public_9\logs
tc_public_1,data\tc_public\tc_public_1\input.blif,dc2_fast,dc2_fast,selected_candidate,,results\portfolio\dc2_fast\tc_public_1\output.blif,results\portfolio\dc2_fast\tc_public_1\output.candidate.blif,results\baseline\tc_public_1\output.blif,121,8,142,8,121,8,207,13,0,0,True,0.08578680001664907,0.0857199999736622,0.11208060011267662,10.4375,results\portfolio\dc2_fast\tc_public_1\logs
tc_public_10,data\tc_public\tc_public_10\input.blif,dc2_fast,dc2_fast,selected_candidate,,results\portfolio\dc2_fast\tc_public_10\output.blif,results\portfolio\dc2_fast\tc_public_10\output.candidate.blif,results\baseline\tc_public_10\output.blif,161,4,161,4,161,4,192,5,0,0,True,0.10100250004325062,0.06720699998550117,0.11135029990691692,10.453125,results\portfolio\dc2_fast\tc_public_10\logs
tc_public_11,data\tc_public\tc_public_11\input.blif,dc2_fast,dc2_fast,selected_candidate,,results\portfolio\dc2_fast\tc_public_11\output.blif,results\portfolio\dc2_fast\tc_public_11\output.candidate.blif,results\baseline\tc_public_11\output.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.10313040006440133,0.08452849998138845,0.14858939999248832,11.93359375,results\portfolio\dc2_fast\tc_public_11\logs
tc_public_12,data\tc_public\tc_public_12\input.blif,dc2_fast,dc2_fast,selected_candidate,,results\portfolio\dc2_fast\tc_public_12\output.blif,results\portfolio\dc2_fast\tc_public_12\output.candidate.blif,results\baseline\tc_public_12\output.blif,1388,14,1407,13,1388,14,1482,15,0,0,True,0.1295869000023231,0.08626620005816221,0.12858849996700883,12.9453125,results\portfolio\dc2_fast\tc_public_12\logs
tc_public_13,data\tc_public\tc_public_13\input.blif,dc2_fast,dc2_fast,selected_candidate,,results\portfolio\dc2_fast\tc_public_13\output.blif,results\portfolio\dc2_fast\tc_public_13\output.candidate.blif,results\baseline\tc_public_13\output.blif,1058,13,1130,14,1058,13,1284,17,0,0,True,0.12201589997857809,0.17799399991054088,0.13147280004341155,15.953125,results\portfolio\dc2_fast\tc_public_13\logs
